title,url,thumbnail_url,channel,description,num
Apex Legends: Defiance Launch Trailer,https://www.youtube.com/watch?v=mUNYh_L250M,https://i.ytimg.com/vi/mUNYh_L250M/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBnhHqQ3Zx3g7Vj3ELCuRMyu9Bfgg,Apex Legends,"Mad Maggie might not be the hero the Legends want on their squad, but she might just be the villain they need. See if you can control the madness when Apex Legends: Defiance launches on February...","2.4M views
22 hours ago"
DABABY X NBA YOUNGBOY - HIT [Official Video],https://www.youtube.com/watch?v=aOAk3aoOtYs,https://i.ytimg.com/vi/aOAk3aoOtYs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD516TXAK0trnzUtQa1QI1hQyZbJg,DaBaby,"Directed By: @DaBaby @YoungBoy Never Broke Again Shot By: @GeminiVision__ x @FlyguyNick ""HIT"" OUT NOW ON ALL PLATFORMS","2.2M views
2 days ago"
How I survived my first Pokémon Unite tournament...,https://www.youtube.com/watch?v=qReuxmqaKfU,https://i.ytimg.com/vi/qReuxmqaKfU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD11X3zXu-IBNOu8FLpow98ysCtDQ,Alpharad,[SPONSORED] Thanks to Keeps for sponsoring - Head to http://keeps.com/alpharad to get 50% off your first order of hair loss treatment. ➤ Watch the full tournament: https://www.youtube.com/watch?v...,"342K views
21 hours ago"
A Terrifying Weapon in WWI: Metal Darts Dropped From Planes,https://www.youtube.com/watch?v=MJeHr_Y0bUs,,War Stories with Preston and Sayre,Aerial darts got a fair amount of use before the widespread adoption of bombs. #shorts #ww1 #militaryhistory #military #war,"274K views
20 hours ago"
I spent a day with WILBUR SOOT,https://www.youtube.com/watch?v=Rr1f0nIW5TI,,AnthonyPadilla,I spent a day with Wilbur Soot to learn the truth about being one of the fastest growing Minecrafters and musicians on the Internet. Sponsors ▸Go to http://betterhelp.com/padilla to get 10%...,"869K views
1 day ago"
First to Catch a Shiny Pokemon of Every Type Wins,https://www.youtube.com/watch?v=PFntAZhrcw0,,PokeMEN7 Plays,Get Honey for FREE today ▸ https://joinhoney.com/pokemen7 Honey finds coupons with one click. Thanks to Honey for sponsoring Who will catch a Shiny Pokemon of every Pokemon Type in Pokemon...,"234K views
21 hours ago"
'SPECIAL STAGE' '신'인 걸그룹 'GOT the beat'의 'Step Back' 무대 #엠카운트다운 EP.737 | Mnet 220127 방송,https://www.youtube.com/watch?v=Eq1_WPnzvKw,,Mnet K-POP,티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f M COUNTDOWN｜Ep.737 갓 더 비트 - 스텝 백 (GOT the beat - Step Back) World No.1 Kpop Chart Show M COUNTDOWN Every...,"1.7M views
1 day ago"
Sea of Thieves 2022 Preview Event,https://www.youtube.com/watch?v=AZjucPJfcBE,,Sea of Thieves,"From the adventures that await to plans set in motion by nefarious forces, join members of the Rare crew as we peer into the Order of Souls' cleanest orb to see what the future holds for the...","218K views
20 hours ago"
Try Not To Cry: Dad Edition,https://www.youtube.com/watch?v=4pJttt2b9t4,,Cody Ko,Thank you to BetterHelp for Sponsoring this video! Go to http://betterhelp.com/codyko to get 10% off your first month merch: http://ko-official.com podcast: https://www.youtube.com/tinymeatgang...,"751K views
1 day ago"
The Most Expensive Drink With Black Truffles #shorts,https://www.youtube.com/watch?v=GFYsZ2yRvrw,,Vlad SlickBartender,This is the most expensive cocktail I made on this channel. Black truffle 1 oz cost more than $100 I infused it with Japanese Whiskey Hibiki. Made Clear Ice with Evian Spring Water. Added a...,"3.5M views
2 days ago"
